Economy,Region,Income group,DB Year,Score-Starting a business
Brazil,Latin America & Caribbean,Upper middle income,2004,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2004,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2004,"51,3096"
Brazil,Latin America & Caribbean,Upper middle income,2005,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2005,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2005,"51,47729"
Brazil,Latin America & Caribbean,Upper middle income,2006,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2006,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2006,"51,67734"
Brazil,Latin America & Caribbean,Upper middle income,2007,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2007,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2007,"54,64911"
Brazil,Latin America & Caribbean,Upper middle income,2008,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2008,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2008,"53,1141"
Brazil,Latin America & Caribbean,Upper middle income,2009,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2009,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2009,"53,39101"
Brazil,Latin America & Caribbean,Upper middle income,2010,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2010,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2010,"56,48846"
Brazil,Latin America & Caribbean,Upper middle income,2011,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2011,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2011,"57,91549"
Brazil,Latin America & Caribbean,Upper middle income,2012,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2012,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2012,"58,1476"
Brazil,Latin America & Caribbean,Upper middle income,2013,
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2013,
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2013,"58,21863"
Brazil,Latin America & Caribbean,Upper middle income,2014,"63,73578"
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2014,"72,31598"
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2014,"58,25008"
Brazil,Latin America & Caribbean,Upper middle income,2015,"64,69268"
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2015,"72,39712"
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2015,"59,76689"
Brazil,Latin America & Caribbean,Upper middle income,2016,"63,90458"
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2016,"70,27866"
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2016,"59,82935"
Brazil,Latin America & Caribbean,Upper middle income,2017,"64,7454"
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2017,"72,50733"
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2017,"59,78285"
Brazil,Latin America & Caribbean,Upper middle income,2018,"64,79047"
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2018,"72,60684"
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2018,"59,79311"
Brazil,Latin America & Caribbean,Upper middle income,2019,"80,33913"
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2019,"80,23852"
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2019,"80,40346"
Brazil,Latin America & Caribbean,Upper middle income,2020,"81,29475"
Brazil Rio de Janeiro,Latin America & Caribbean,Upper middle income,2020,"80,84471"
Brazil São Paulo,Latin America & Caribbean,Upper middle income,2020,"81,58248"